
Param lmweight= 1.0 , insertionPenalty=0.0
lmw 1.0 insw 0.0 UTT-1  <s> one </s>	->	 <s> SIX </s>	(-2189.6140041289477)	[2]
lmw 1.0 insw 0.0 UTT-27	<s> nine eight zero seven four three seven </s>	->	 <s> SIX SIX SIX SIX </s>	(-6580.47397763237)	[8]
lmw 1.0 insw 0.0 UTT-28	<s> oh </s>	->	 <s> OH </s>	(-1602.468482175765)	[1]
lmw 1.0 insw 0.0 UTT-29	<s> zero nine nine five </s>	->	 <s> SIX OH </s>	(-4373.329612888163)	[5]
lmw 1.0 insw 0.0 UTT-30	<s> one </s>	->	 <s> FIVE </s>	(-2303.9898226265886)	[2]
lmw 1.0 insw 0.0 UTT-31	<s> two </s>	->	 <s> OH </s>	(-1671.209720120469)	[2]
lmw 1.0 insw 0.0 UTT-32	<s> four one three </s>	->	 <s> OH </s>	(-2954.496216300577)	[4]
lmw 1.0 insw 0.0 UTT-33	<s> five five six eight </s>	->	 <s> SIX SIX SIX </s>	(-3739.6117754750817)	[4]
lmw 1.0 insw 0.0 UTT-34	<s> six eight eight </s>	->	 <s> SIX SIX </s>	(-3095.373161624597)	[3]
lmw 1.0 insw 0.0 UTT-35	<s> seven eight eight six </s>	->	 <s> SIX SIX </s>	(-4318.569193565354)	[4]
lmw 1.0 insw 0.0 UTT-36	<s> eight </s>	->	 <s> SIX </s>	(-1755.4504629531582)	[2]
lmw 1.0 insw 0.0 UTT-37	<s> nine zero eight </s>	->	 <s> SIX </s>	(-3404.4171892656236)	[4]
lmw 1.0 insw 0.0 UTT-38	<s> oh </s>	->	 <s> OH </s>	(-1615.2017127407346)	[1]
lmw 1.0 insw 0.0 UTT-39	<s> one three five </s>	->	 <s> OH SIX </s>	(-3054.896177384619)	[4]
lmw 1.0 insw 0.0 UTT-40	<s> two two nine </s>	->	 <s> OH </s>	(-2304.447679721934)	[4]
lmw 1.0 insw 0.0 UTT-41	<s> three nine </s>	->	 <s> OH SIX </s>	(-2062.332708570749)	[3]
lmw 1.0 insw 0.0 UTT-42	<s> four seven one eight </s>	->	 <s> OH FIVE SIX </s>	(-3707.0562655667054)	[5]
lmw 1.0 insw 0.0 UTT-43	<s> five </s>	->	 <s> OH </s>	(-1616.453006904581)	[2]
lmw 1.0 insw 0.0 UTT-44	<s> six </s>	->	 <s> SIX </s>	(-1624.8682152244369)	[1]
lmw 1.0 insw 0.0 UTT-45	<s> seven zero four six nine eight nine </s>	->	 <s> SIX OH OH </s>	(-5808.520975515144)	[7]
lmw 1.0 insw 0.0 UTT-46	<s> nine two three </s>	->	 <s> OH </s>	(-2578.0409034833383)	[4]
lmw 1.0 insw 0.0 UTT-47	<s> oh six five </s>	->	 <s> OH </s>	(-3096.072193544153)	[3]
lmw 1.0 insw 0.0 UTT-48	<s> zero four four three six five nine </s>	->	 <s> SIX SIX SIX OH OH </s>	(-6327.67905264371)	[7]
lmw 1.0 insw 0.0 UTT-49	<s> one nine five </s>	->	 <s> THREE OH </s>	(-3160.2170049766537)	[4]
lmw 1.0 insw 0.0 UTT-50	<s> two </s>	->	 <s> OH </s>	(-2031.2713890178893)	[2]
lmw 1.0 insw 0.0 UTT-51	<s> three </s>	->	 <s> OH </s>	(-1984.5628508758832)	[2]
lmw 1.0 insw 0.0 UTT-52	<s> four oh </s>	->	 <s> SIX </s>	(-2481.629906702013)	[3]
lmw 1.0 insw 0.0 UTT-53	<s> six five two six </s>	->	 <s> SIX SIX OH SIX </s>	(-4071.851015652281)	[3]
lmw 1.0 insw 0.0 UTT-54	<s> seven four </s>	->	 <s> FIVE </s>	(-2929.4928731400196)	[3]
lmw 1.0 insw 0.0 UTT-55	<s> eight five four </s>	->	 <s> FIVE </s>	(-3029.622259584757)	[3]
lmw 1.0 insw 0.0 UTT-56	<s> nine </s>	->	 <s> OH </s>	(-2043.0605377785523)	[2]
lmw 1.0 insw 0.0 UTT-57	<s> oh </s>	->	 <s> OH </s>	(-1745.0222592156433)	[1]
lmw 1.0 insw 0.0 UTT-58	<s> zero </s>	->	 <s> OH </s>	(-2190.5927898917157)	[2]
lmw 1.0 insw 0.0 UTT-59	<s> one zero eight eight five </s>	->	 <s> SIX OH </s>	(-5576.958376835483)	[6]
lmw 1.0 insw 0.0 UTT-60	<s> three three seven one </s>	->	 <s> SIX OH OH SIX </s>	(-4903.451745504255)	[5]
lmw 1.0 insw 0.0 UTT-61	<s> four five </s>	->	 <s> SIX OH </s>	(-3713.0960649137764)	[3]
lmw 1.0 insw 0.0 UTT-62	<s> five five five zero nine seven one </s>	->	 <s> SIX SIX OH OH OH SIX SIX </s>	(-8382.598994821767)	[8]
lmw 1.0 insw 0.0 UTT-63	<s> six nine one four oh </s>	->	 <s> SIX SIX OH OH </s>	(-5887.004644876167)	[4]
lmw 1.0 insw 0.0 UTT-64	<s> seven </s>	->	 <s> SIX </s>	(-2407.3989636171755)	[2]
lmw 1.0 insw 0.0 UTT-65	<s> eight </s>	->	 <s> OH FIVE </s>	(-2314.374110165845)	[3]
lmw 1.0 insw 0.0 UTT-66	<s> nine oh four five three five eight </s>	->	 <s> OH OH FIVE OH FIVE SIX SIX OH OH </s>	(-8999.201000119498)	[8]
lmw 1.0 insw 0.0 UTT-67	<s> zero two one five nine </s>	->	 <s> OH FIVE SIX SIX SIX </s>	(-5798.410623870136)	[6]
lmw 1.0 insw 0.0 UTT-68	<s> one three </s>	->	 <s> SIX </s>	(-2525.891042841986)	[3]
lmw 1.0 insw 0.0 UTT-69	<s> two eight zero five </s>	->	 <s> SIX OH </s>	(-4177.5256746134155)	[5]
lmw 1.0 insw 0.0 UTT-70	<s> three five five three six </s>	->	 <s> OH OH SIX </s>	(-4542.765470975052)	[5]
lmw 1.0 insw 0.0 UTT-71	<s> four five six four four </s>	->	 <s> SIX OH OH SIX SIX OH </s>	(-4778.102280110912)	[6]
lmw 1.0 insw 0.0 UTT-72	<s> five </s>	->	 <s> OH </s>	(-1732.2580312949242)	[2]
lmw 1.0 insw 0.0 UTT-73	<s> six oh six oh two </s>	->	 <s> OH OH SIX OH </s>	(-4372.205121173968)	[3]
lmw 1.0 insw 0.0 UTT-74	<s> eight one two oh eight five nine </s>	->	 <s> SIX SIX SIX OH OH </s>	(-6127.587524106064)	[7]
lmw 1.0 insw 0.0 UTT-75	<s> nine three five oh three two four </s>	->	 <s> OH SIX OH </s>	(-6708.979792215457)	[7]
lmw 1.0 insw 0.0 UTT-76	<s> oh </s>	->	 <s> OH </s>	(-1685.5111881173125)	[1]
lmw 1.0 insw 0.0 UTT-77	<s> zero </s>	->	 <s> OH </s>	(-2427.51144067238)	[2]
lmw 1.0 insw 0.0 UTT-78	<s> one </s>	->	 <s> SIX SIX </s>	(-2053.246397017753)	[3]
lmw 1.0 insw 0.0 UTT-79	<s> two oh six two </s>	->	 <s> SIX </s>	(-3139.8242266609477)	[4]
lmw 1.0 insw 0.0 UTT-80	<s> three </s>	->	 <s> SIX </s>	(-1515.8412256070703)	[2]
lmw 1.0 insw 0.0 UTT-81	<s> five five two zero </s>	->	 <s> SIX SIX FIVE </s>	(-3179.8066266591804)	[5]
lmw 1.0 insw 0.0 UTT-82	<s> six seven oh oh </s>	->	 <s> SIX OH SIX </s>	(-3689.9790623894637)	[3]
lmw 1.0 insw 0.0 UTT-83	<s> seven six </s>	->	 <s> SIX SIX </s>	(-2835.51461155194)	[2]
lmw 1.0 insw 0.0 UTT-84	<s> eight nine eight </s>	->	 <s> OH SIX </s>	(-3240.141135232565)	[4]
lmw 1.0 insw 0.0 UTT-85	<s> nine </s>	->	 <s> SIX </s>	(-1935.5001258285256)	[2]
lmw 1.0 insw 0.0 UTT-86	<s> oh </s>	->	 <s> OH SIX </s>	(-1644.9811107855496)	[2]
lmw 1.0 insw 0.0 UTT-87	<s> zero </s>	->	 <s> SIX </s>	(-1759.757494440075)	[2]
lmw 1.0 insw 0.0 UTT-88	<s> two two eight two oh </s>	->	 <s> SIX SIX OH </s>	(-5662.606048888185)	[5]
lmw 1.0 insw 0.0 UTT-89	<s> three four eight </s>	->	 <s> SIX </s>	(-3562.3244066625675)	[4]
lmw 1.0 insw 0.0 UTT-90	<s> four seven zero </s>	->	 <s> SIX SIX </s>	(-4117.446663114646)	[4]
lmw 1.0 insw 0.0 UTT-91	<s> five seven three five three seven nine </s>	->	 <s> SIX SIX SIX SIX </s>	(-7060.36661174536)	[8]
lmw 1.0 insw 0.0 UTT-92	<s> six nine </s>	->	 <s> SIX SIX SIX </s>	(-3592.6863759532825)	[3]
lmw 1.0 insw 0.0 UTT-93	<s> seven </s>	->	 <s> SIX </s>	(-2038.1074389703388)	[2]
lmw 1.0 insw 0.0 UTT-94	<s> eight zero </s>	->	 <s> SIX SIX </s>	(-2999.419310295079)	[3]
lmw 1.0 insw 0.0 UTT-95	<s> oh two seven four oh </s>	->	 <s> SIX OH OH OH </s>	(-5978.057278008316)	[5]
lmw 1.0 insw 0.0 UTT-96	<s> zero two three one nine zero nine </s>	->	 <s> SIX SIX SIX </s>	(-7171.706795304186)	[8]
lmw 1.0 insw 0.0 UTT-97	<s> one three oh two eight nine oh </s>	->	 <s> SIX OH FIVE THREE SIX OH </s>	(-6182.860971757801)	[6]
lmw 1.0 insw 0.0 UTT-98	<s> two eight </s>	->	 <s> SIX SIX </s>	(-2671.3896336912658)	[3]
lmw 1.0 insw 0.0 UTT-99	<s> three five </s>	->	 <s> SIX SIX </s>	(-2237.409821595105)	[3]
lmw 1.0 insw 0.0 UTT-100	<s> four </s>	->	 <s> OH </s>	(-1454.4202779150187)	[2]
lmw 1.0 insw 0.0 UTT-101	<s> five </s>	->	 <s> OH </s>	(-1644.783646846228)	[2]
lmw 1.0 insw 0.0 UTT-102	<s> seven one one </s>	->	 <s> SIX </s>	(-3452.8806304096483)	[4]
lmw 1.0 insw 0.0 UTT-103	<s> eight five oh one six four six </s>	->	 <s> OH FIVE SIX SIX SIX </s>	(-6335.195107133301)	[5]
lmw 1.0 insw 0.0 UTT-104	<s> nine eight seven zero </s>	->	 <s> OH OH </s>	(-4005.951493081254)	[5]
lmw 1.0 insw 0.0 UTT-105	<s> oh </s>	->	 <s> SIX </s>	(-1616.4508840143812)	[2]
lmw 1.0 insw 0.0 UTT-106	<s> zero </s>	->	 <s> SIX </s>	(-2043.8627616610804)	[2]
lmw 1.0 insw 0.0 UTT-107	<s> one </s>	->	 <s> SIX </s>	(-1701.2291635656525)	[2]
lmw 1.0 insw 0.0 UTT-108	<s> two </s>	->	 <s> OH </s>	(-1847.4137543963493)	[2]
lmw 1.0 insw 0.0 UTT-109	<s> four one oh four oh </s>	->	 <s> SIX SIX SIX </s>	(-6460.516020283627)	[6]
lmw 1.0 insw 0.0 UTT-110	<s> five three four nine nine six oh </s>	->	 <s> SIX SIX THREE SIX OH </s>	(-6500.3838615198765)	[6]
lmw 1.0 insw 0.0 UTT-111	<s> six eight six seven </s>	->	 <s> SIX SIX SIX SIX </s>	(-3884.3492941283034)	[3]
lmw 1.0 insw 0.0 UTT-112	<s> seven nine three six five nine six </s>	->	 <s> SIX SIX SIX SIX </s>	(-7336.32265264666)	[6]
lmw 1.0 insw 0.0 UTT-113	<s> eight eight zero five five </s>	->	 <s> OH SIX OH OH SIX </s>	(-5373.129214052107)	[6]
lmw 1.0 insw 0.0 UTT-114	<s> nine </s>	->	 <s> SIX </s>	(-1728.3159388121016)	[2]
lmw 1.0 insw 0.0 UTT-115	<s> oh oh oh nine nine eight nine </s>	->	 <s> OH OH OH OH </s>	(-6361.6062924486405)	[5]
lmw 1.0 insw 0.0 UTT-116	<s> one one five </s>	->	 <s> OH </s>	(-2880.8628918107997)	[4]
lmw 1.0 insw 0.0 UTT-117	<s> two two </s>	->	 <s> SIX SIX </s>	(-2538.910953072675)	[3]
lmw 1.0 insw 0.0 UTT-118	<s> three five oh two </s>	->	 <s> SIX SIX </s>	(-3345.8966170918284)	[5]
lmw 1.0 insw 0.0 UTT-119	<s> four </s>	->	 <s> SIX </s>	(-1769.279220688175)	[2]
lmw 1.0 insw 0.0 UTT-120	<s> five </s>	->	 <s> OH </s>	(-1664.6486300003598)	[2]
lmw 1.0 insw 0.0 UTT-121	<s> six </s>	->	 <s> SIX </s>	(-1849.7021906598072)	[1]
lmw 1.0 insw 0.0 UTT-122	<s> seven </s>	->	 <s> SIX </s>	(-2121.996890971301)	[2]
lmw 1.0 insw 0.0 UTT-123	<s> nine six one eight two three seven </s>	->	 <s> SIX SIX SIX SIX SIX OH </s>	(-6308.663870449622)	[7]
lmw 1.0 insw 0.0 UTT-124	<s> oh three five seven four five one </s>	->	 <s> OH SIX SIX </s>	(-6169.795596792578)	[7]
lmw 1.0 insw 0.0 UTT-125	<s> zero eight three nine two nine three </s>	->	 <s> SIX </s>	(-6408.224803060844)	[8]
lmw 1.0 insw 0.0 UTT-126	<s> one </s>	->	 <s> SIX </s>	(-1679.4757257856002)	[2]
lmw 1.0 insw 0.0 UTT-127	<s> two </s>	->	 <s> SIX </s>	(-2201.2774070350765)	[2]
lmw 1.0 insw 0.0 UTT-128	<s> three </s>	->	 <s> OH SIX </s>	(-2253.9933735332966)	[3]
lmw 1.0 insw 0.0 UTT-129	<s> four </s>	->	 <s> OH </s>	(-2122.5084030642156)	[2]
lmw 1.0 insw 0.0 UTT-130	<s> six one </s>	->	 <s> SIX SIX </s>	(-2859.63581109193)	[2]
lmw 1.0 insw 0.0 UTT-131	<s> seven three seven </s>	->	 <s> OH SIX OH </s>	(-3797.923723035429)	[4]
lmw 1.0 insw 0.0 UTT-132	<s> eight seven </s>	->	 <s> SIX SIX </s>	(-2919.975359409412)	[3]
lmw 1.0 insw 0.0 UTT-133	<s> nine nine </s>	->	 <s> OH SIX </s>	(-3184.1439054093908)	[3]
lmw 1.0 insw 0.0 UTT-134	<s> oh </s>	->	 <s> OH </s>	(-2110.1252172472205)	[1]
lmw 1.0 insw 0.0 UTT-135	<s> zero </s>	->	 <s> SIX </s>	(-2514.828963647274)	[2]
lmw 1.0 insw 0.0 UTT-136	<s> one oh five oh oh four five </s>	->	 <s> OH OH OH OH </s>	(-6114.748651163358)	[5]
lmw 1.0 insw 0.0 UTT-137	<s> three two five </s>	->	 <s> OH </s>	(-3703.2972869104224)	[4]
lmw 1.0 insw 0.0 UTT-138	<s> four four seven three </s>	->	 <s> SIX SIX </s>	(-3382.937947883116)	[5]
lmw 1.0 insw 0.0 UTT-139	<s> five two seven four one five five </s>	->	 <s> SIX OH SIX SIX SIX </s>	(-6987.546119587358)	[8]
lmw 1.0 insw 0.0 UTT-140	<s> six seven two six two </s>	->	 <s> OH SIX </s>	(-4273.888195347219)	[5]
lmw 1.0 insw 0.0 UTT-141	<s> seven nine </s>	->	 <s> THREE OH </s>	(-3265.4617927934214)	[3]
lmw 1.0 insw 0.0 UTT-142	<s> eight </s>	->	 <s> OH </s>	(-1864.374856430421)	[2]
lmw 1.0 insw 0.0 UTT-143	<s> nine </s>	->	 <s> OH </s>	(-1906.6689205244495)	[2]
lmw 1.0 insw 0.0 UTT-144	<s> zero three seven six zero four zero </s>	->	 <s> SIX SIX SIX SIX SIX OH </s>	(-6876.204802770067)	[7]
lmw 1.0 insw 0.0 UTT-145	<s> one one </s>	->	 <s> SIX </s>	(-2522.941274021045)	[3]
lmw 1.0 insw 0.0 UTT-146	<s> two five seven </s>	->	 <s> OH FIVE </s>	(-3149.3570807373585)	[3]
lmw 1.0 insw 0.0 UTT-147	<s> three nine </s>	->	 <s> SIX </s>	(-3066.67457386095)	[3]
lmw 1.0 insw 0.0 UTT-148	<s> four seven nine oh oh nine oh </s>	->	 <s> SIX OH OH OH </s>	(-6990.9859410386825)	[5]
lmw 1.0 insw 0.0 UTT-149	<s> five </s>	->	 <s> OH </s>	(-1889.0197105642178)	[2]
lmw 1.0 insw 0.0 UTT-150	<s> six oh five oh </s>	->	 <s> OH OH </s>	(-4680.934221702259)	[3]
lmw 1.0 insw 0.0 UTT-151	<s> eight one </s>	->	 <s> SIX OH </s>	(-2905.4701368803976)	[3]
lmw 1.0 insw 0.0 UTT-152	<s> nine two two six </s>	->	 <s> SIX SIX SIX </s>	(-4502.633210059668)	[4]
lmw 1.0 insw 0.0 UTT-153	<s> oh nine seven </s>	->	 <s> OH OH OH </s>	(-3681.852547577136)	[3]
lmw 1.0 insw 0.0 UTT-154	<s> zero </s>	->	 <s> OH </s>	(-2042.860117974165)	[2]
lmw 1.0 insw 0.0 UTT-155	<s> one </s>	->	 <s> SIX </s>	(-1756.4361134052037)	[2]
lmw 1.0 insw 0.0 UTT-156	<s> two </s>	->	 <s> OH </s>	(-1808.1699621070716)	[2]
lmw 1.0 insw 0.0 UTT-157	<s> three </s>	->	 <s> OH </s>	(-2365.7225547666626)	[2]
lmw 1.0 insw 0.0 UTT-158	<s> five one seven one four two six </s>	->	 <s> OH SIX SIX SIX </s>	(-6928.7734551987205)	[7]
lmw 1.0 insw 0.0 UTT-159	<s> six four six </s>	->	 <s> OH FIVE SIX </s>	(-4261.157506270054)	[3]
lmw 1.0 insw 0.0 UTT-160	<s> seven six one one </s>	->	 <s> SIX SIX SIX </s>	(-4071.7626030143533)	[4]
lmw 1.0 insw 0.0 UTT-161	<s> eight seven two four six three seven </s>	->	 <s> SIX OH SIX OH FIVE SIX SIX OH OH </s>	(-8140.860855174216)	[9]
lmw 1.0 insw 0.0 UTT-162	<s> nine </s>	->	 <s> OH FIVE </s>	(-2905.8456305291124)	[3]
lmw 1.0 insw 0.0 UTT-163	<s> oh </s>	->	 <s> OH </s>	(-1793.6229408147863)	[1]
lmw 1.0 insw 0.0 UTT-164	<s> zero zero </s>	->	 <s> OH FIVE </s>	(-3173.623211774283)	[3]
lmw 1.0 insw 0.0 UTT-165	<s> two one </s>	->	 <s> SIX </s>	(-2381.2169760623306)	[3]
lmw 1.0 insw 0.0 UTT-166	<s> three three eight </s>	->	 <s> SIX </s>	(-3706.5302784182913)	[4]
lmw 1.0 insw 0.0 UTT-167	<s> four four eight one five </s>	->	 <s> OH FIVE </s>	(-5605.742991020327)	[5]
lmw 1.0 insw 0.0 UTT-168	<s> five </s>	->	 <s> OH </s>	(-2328.8823114870893)	[2]
lmw 1.0 insw 0.0 UTT-169	<s> six seven eight </s>	->	 <s> SIX SIX </s>	(-3992.461544552662)	[3]
lmw 1.0 insw 0.0 UTT-170	<s> seven </s>	->	 <s> OH </s>	(-2432.4531040354523)	[2]
lmw 1.0 insw 0.0 UTT-171	<s> eight </s>	->	 <s> SIX </s>	(-1861.6506526696544)	[2]
lmw 1.0 insw 0.0 UTT-172	<s> oh one three two one </s>	->	 <s> SIX SIX SIX </s>	(-5430.619205808512)	[6]
lmw 1.0 insw 0.0 UTT-173	<s> zero six zero five </s>	->	 <s> SIX SIX SIX SIX OH </s>	(-5474.791551569443)	[5]
lmw 1.0 insw 0.0 UTT-174	<s> one six oh nine seven </s>	->	 <s> SIX SIX </s>	(-4384.334858578519)	[5]
lmw 1.0 insw 0.0 UTT-175	<s> two </s>	->	 <s> SIX </s>	(-1709.5063054349384)	[2]
lmw 1.0 insw 0.0 UTT-176	<s> three eight </s>	->	 <s> SIX </s>	(-2435.137726303532)	[3]
lmw 1.0 insw 0.0 UTT-177	<s> four </s>	->	 <s> OH </s>	(-1620.9019634466804)	[2]
lmw 1.0 insw 0.0 UTT-178	<s> five zero </s>	->	 <s> OH OH </s>	(-2496.997650328791)	[3]
lmw 1.0 insw 0.0 UTT-179	<s> seven three zero two three zero one </s>	->	 <s> SIX SIX SIX </s>	(-7120.807835401365)	[8]
lmw 1.0 insw 0.0 UTT-180	<s> eight five three seven six zero six </s>	->	 <s> SIX SIX SIX SIX SIX SIX </s>	(-7331.429377189877)	[6]
lmw 1.0 insw 0.0 UTT-181	<s> nine five zero </s>	->	 <s> SIX </s>	(-3083.5768139936354)	[4]
lmw 1.0 insw 0.0 UTT-182	<s> oh nine oh eight four six four </s>	->	 <s> SIX SIX SIX SIX </s>	(-6012.028187156973)	[7]
lmw 1.0 insw 0.0 UTT-183	<s> zero </s>	->	 <s> SIX </s>	(-2210.4295227010653)	[2]
lmw 1.0 insw 0.0 UTT-184	<s> one oh one two </s>	->	 <s> SIX OH </s>	(-3512.082804803833)	[4]
lmw 1.0 insw 0.0 UTT-185	<s> two </s>	->	 <s> SIX </s>	(-1405.8530514127842)	[2]
lmw 1.0 insw 0.0 UTT-186	<s> four one oh oh six three one </s>	->	 <s> OH FIVE SIX OH </s>	(-6388.44389881335)	[6]
lmw 1.0 insw 0.0 UTT-187	<s> five five </s>	->	 <s> FIVE OH </s>	(-2527.7361729667005)	[2]
lmw 1.0 insw 0.0 UTT-188	<s> six four one </s>	->	 <s> SIX OH </s>	(-3379.389172833313)	[3]
lmw 1.0 insw 0.0 UTT-189	<s> seven five oh </s>	->	 <s> SIX OH OH </s>	(-3463.9518021549998)	[3]
lmw 1.0 insw 0.0 UTT-190	<s> eight </s>	->	 <s> OH SIX </s>	(-1707.875275643623)	[3]
lmw 1.0 insw 0.0 UTT-191	<s> nine </s>	->	 <s> OH </s>	(-1618.2346892231687)	[2]
lmw 1.0 insw 0.0 UTT-192	<s> oh </s>	->	 <s> OH OH </s>	(-1549.089983791489)	[2]
lmw 1.0 insw 0.0 UTT-193	<s> one two four three one </s>	->	 <s> SIX SIX SIX SIX </s>	(-7758.583020276529)	[6]
lmw 1.0 insw 0.0 UTT-194	<s> two two nine </s>	->	 <s> SIX SIX SIX </s>	(-4154.592839202234)	[4]
lmw 1.0 insw 0.0 UTT-195	<s> three seven </s>	->	 <s> SIX SIX SIX </s>	(-3799.5134598610903)	[4]
lmw 1.0 insw 0.0 UTT-196	<s> four eight eight oh seven oh one </s>	->	 <s> SIX SIX OH OH OH </s>	(-8107.633261912481)	[6]
lmw 1.0 insw 0.0 UTT-197	<s> five </s>	->	 <s> SIX OH </s>	(-2175.448265189914)	[3]
lmw 1.0 insw 0.0 UTT-198	<s> six </s>	->	 <s> SIX </s>	(-2345.1213084031524)	[1]
lmw 1.0 insw 0.0 UTT-199	<s> seven oh seven </s>	->	 <s> SIX SIX </s>	(-4497.174915372803)	[4]
lmw 1.0 insw 0.0 UTT-200	<s> nine four nine one </s>	->	 <s> OH OH SIX </s>	(-5469.477373369691)	[5]
lmw 1.0 insw 0.0 UTT-201	<s> oh three two </s>	->	 <s> SIX SIX SIX </s>	(-3864.298744199826)	[4]
lmw 1.0 insw 0.0 UTT-202	<s> zero eight nine </s>	->	 <s> SIX </s>	(-4429.857259061063)	[4]
lmw 1.0 insw 0.0 UTT-203	<s> one nine three six two six zero </s>	->	 <s> SIX SIX SIX SIX SIX OH </s>	(-7085.5050317637615)	[6]
lmw 1.0 insw 0.0 UTT-204	<s> two </s>	->	 <s> OH </s>	(-1656.3071163140337)	[2]
lmw 1.0 insw 0.0 UTT-205	<s> three </s>	->	 <s> SIX </s>	(-2301.621625821069)	[2]
lmw 1.0 insw 0.0 UTT-206	<s> four </s>	->	 <s> SIX </s>	(-2136.2631214905014)	[2]
lmw 1.0 insw 0.0 UTT-207	<s> six three </s>	->	 <s> SIX SIX </s>	(-2712.421287758968)	[2]
lmw 1.0 insw 0.0 UTT-208	<s> seven nine eight eight six </s>	->	 <s> SIX SIX SIX </s>	(-5671.848650504124)	[5]
lmw 1.0 insw 0.0 UTT-209	<s> eight five oh </s>	->	 <s> OH FIVE </s>	(-3002.614513378391)	[3]
lmw 1.0 insw 0.0 UTT-210	<s> nine six oh oh </s>	->	 <s> SIX OH </s>	(-3389.8673511070833)	[3]
lmw 1.0 insw 0.0 UTT-211	<s> oh eight one oh nine </s>	->	 <s> SIX </s>	(-4509.691453426078)	[6]
lmw 1.0 insw 0.0 UTT-212	<s> zero </s>	->	 <s> SIX </s>	(-2614.2215664867886)	[2]
lmw 1.0 insw 0.0 UTT-213	<s> one oh eight four oh three oh </s>	->	 <s> OH SIX SIX OH OH </s>	(-7088.1596037120835)	[5]
lmw 1.0 insw 0.0 UTT-214	<s> three one two oh </s>	->	 <s> SIX OH </s>	(-4126.65508307939)	[4]
lmw 1.0 insw 0.0 UTT-215	<s> four two five three </s>	->	 <s> SIX SIX SIX </s>	(-4604.489808264535)	[5]
lmw 1.0 insw 0.0 UTT-216	<s> five five </s>	->	 <s> SIX OH </s>	(-2708.3279052668154)	[3]
lmw 1.0 insw 0.0 UTT-217	<s> six nine </s>	->	 <s> OH SIX </s>	(-3480.924778778402)	[3]
